2017.326027
   Z       E         F
   9  2.692E+00  1.642E-02
   9  3.097E+00  1.644E-02
   9  3.561E+00  1.628E-02
   9  4.093E+00  1.596E-02
   9  4.706E+00  1.545E-02
   9  5.411E+00  1.479E-02
   9  6.222E+00  1.397E-02
   9  7.154E+00  1.303E-02
   9  8.225E+00  1.199E-02
   9  9.456E+00  1.087E-02
   9  1.087E+01  9.717E-03
   9  1.250E+01  8.556E-03
   9  1.437E+01  7.420E-03
   9  1.652E+01  6.338E-03
   9  1.900E+01  5.329E-03
   9  2.185E+01  4.412E-03
   9  2.512E+01  3.600E-03
   9  2.888E+01  2.893E-03
   9  3.321E+01  2.291E-03
   9  3.817E+01  1.791E-03
   9  4.389E+01  1.381E-03
   9  5.046E+01  1.051E-03
   9  5.803E+01  7.911E-04
   9  6.671E+01  5.889E-04
   9  7.670E+01  4.338E-04
   9  8.820E+01  3.166E-04
   9  1.014E+02  2.291E-04
   9  1.166E+02  1.645E-04
   9  1.340E+02  1.173E-04
   9  1.541E+02  8.312E-05
   9  1.772E+02  5.855E-05
   9  2.037E+02  4.106E-05
   9  2.343E+02  2.861E-05
   9  2.692E+02  1.990E-05
   9  3.097E+02  1.376E-05
   9  3.561E+02  9.499E-06
   9  4.093E+02  6.542E-06
   9  4.706E+02  4.489E-06
   9  5.411E+02  3.075E-06
   9  6.222E+02  2.101E-06
   9  7.154E+02  1.435E-06
   9  8.225E+02  9.776E-07
   9  9.456E+02  6.655E-07
   9  1.087E+03  4.525E-07
   9  1.250E+03  3.073E-07
   9  1.437E+03  2.085E-07
   9  1.652E+03  1.414E-07
   9  1.900E+03  9.583E-08
   9  2.185E+03  6.487E-08
   9  2.512E+03  4.393E-08
   9  2.888E+03  2.972E-08
   9  3.321E+03  2.009E-08
   9  3.817E+03  1.360E-08
   9  4.389E+03  9.192E-09
   9  5.046E+03  6.212E-09
   9  5.803E+03  4.196E-09
   9  6.671E+03  2.835E-09
   9  7.670E+03  1.915E-09
   9  8.820E+03  1.293E-09
   9  1.014E+04  8.730E-10
   9  1.166E+04  5.895E-10
   9  1.340E+04  3.979E-10
   9  1.541E+04  2.687E-10
   9  1.772E+04  1.813E-10
   9  2.037E+04  1.225E-10
   9  2.343E+04  8.258E-11
   9  2.692E+04  5.580E-11
   9  3.097E+04  3.761E-11
   9  3.561E+04  2.538E-11
   9  4.093E+04  1.714E-11
   9  4.706E+04  1.156E-11
   9  5.411E+04  7.801E-12
   9  6.222E+04  5.262E-12
   9  7.154E+04  3.552E-12
   9  8.225E+04  2.396E-12
   9  9.456E+04  1.617E-12
   9  1.087E+05  1.091E-12
   9  1.250E+05  7.362E-13
   9  1.437E+05  4.966E-13
   9  1.652E+05  3.352E-13
   9  1.900E+05  2.261E-13
  10  2.000E-01  4.582E-02
  10  2.300E-01  5.132E-02
  10  2.644E-01  5.726E-02
  10  3.040E-01  6.365E-02
  10  3.496E-01  7.046E-02
  10  4.018E-01  7.760E-02
  10  4.620E-01  8.506E-02
  10  5.312E-01  9.271E-02
  10  6.108E-01  1.004E-01
  10  7.022E-01  1.081E-01
  10  8.074E-01  1.155E-01
  10  9.284E-01  1.225E-01
  10  1.067E+00  1.289E-01
  10  1.227E+00  1.346E-01
  10  1.411E+00  1.392E-01
  10  1.622E+00  1.427E-01
  10  1.865E+00  1.449E-01
  10  2.144E+00  1.457E-01
  10  2.466E+00  1.450E-01
  10  2.834E+00  1.429E-01
  10  3.260E+00  1.393E-01
  10  3.748E+00  1.343E-01
  10  4.308E+00  1.281E-01
  10  4.954E+00  1.207E-01
  10  5.696E+00  1.125E-01
  10  6.550E+00  1.036E-01
  10  7.530E+00  9.421E-02
  10  8.658E+00  8.462E-02
  10  9.954E+00  7.506E-02
  10  1.144E+01  6.572E-02
  10  1.316E+01  5.679E-02
  10  1.513E+01  4.842E-02
  10  1.739E+01  4.074E-02
  10  2.000E+01  3.382E-02
  10  2.300E+01  2.770E-02
  10  2.644E+01  2.240E-02
  10  3.040E+01  1.788E-02
  10  3.496E+01  1.409E-02
  10  4.018E+01  1.098E-02
  10  4.620E+01  8.448E-03
  10  5.312E+01  6.431E-03
  10  6.108E+01  4.843E-03
  10  7.022E+01  3.613E-03
  10  8.074E+01  2.670E-03
  10  9.284E+01  1.957E-03
  10  1.067E+02  1.423E-03
  10  1.227E+02  1.027E-03
  10  1.411E+02  7.367E-04
  10  1.622E+02  5.253E-04
  10  1.865E+02  3.725E-04
  10  2.144E+02  2.630E-04
  10  2.466E+02  1.847E-04
  10  2.834E+02  1.294E-04
  10  3.260E+02  9.017E-05
  10  3.748E+02  6.272E-05
  10  4.308E+02  4.354E-05
  10  4.954E+02  3.011E-05
  10  5.696E+02  2.079E-05
  10  6.550E+02  1.432E-05
  10  7.530E+02  9.859E-06
  10  8.658E+02  6.773E-06
  10  9.954E+02  4.649E-06
  10  1.144E+03  3.187E-06
  10  1.316E+03  2.183E-06
  10  1.513E+03  1.493E-06
  10  1.739E+03  1.021E-06
  10  2.000E+03  6.977E-07
  10  2.300E+03  4.762E-07
  10  2.644E+03  3.252E-07
  10  3.040E+03  2.219E-07
  10  3.496E+03  1.512E-07
  10  4.018E+03  1.032E-07
  10  4.620E+03  7.036E-08
  10  5.312E+03  4.794E-08
  10  6.108E+03  3.266E-08
  10  7.022E+03  2.225E-08
  10  8.074E+03  1.515E-08
  10  9.284E+03  1.032E-08
  10  1.067E+04  7.025E-09
  10  1.227E+04  4.784E-09
  10  1.411E+04  3.256E-09
  10  1.622E+04  2.217E-09
  10  1.865E+04  1.509E-09
  10  2.144E+04  1.028E-09
  10  2.466E+04  6.987E-10
  10  2.834E+04  4.761E-10
  10  3.260E+04  3.236E-10
  10  3.748E+04  2.202E-10
  10  4.308E+04  1.500E-10
  10  4.954E+04  1.020E-10
  10  5.696E+04  6.941E-11
  10  6.550E+04  4.721E-11
  10  7.530E+04  3.213E-11
  10  8.658E+04  2.186E-11
  10  9.954E+04  1.488E-11
  10  1.144E+05  1.012E-11
  10  1.316E+05  6.888E-12
  10  1.513E+05  4.685E-12
  10  1.739E+05  3.189E-12
  10  2.000E+05  2.169E-12
  11  2.300E-01  1.062E-02
  11  2.645E-01  1.187E-02
  11  3.041E-01  1.322E-02
  11  3.496E-01  1.467E-02
  11  4.020E-01  1.621E-02
  11  4.621E-01  1.782E-02
  11  5.313E-01  1.948E-02
  11  6.109E-01  2.118E-02
  11  7.024E-01  2.288E-02
  11  8.075E-01  2.455E-02
  11  9.285E-01  2.615E-02
  11  1.068E+00  2.764E-02
  11  1.228E+00  2.898E-02
  11  1.411E+00  3.012E-02
  11  1.623E+00  3.103E-02
  11  1.866E+00  3.167E-02
  11  2.145E+00  3.201E-02
  11  2.466E+00  3.204E-02
  11  2.836E+00  3.174E-02
  11  3.259E+00  3.111E-02
  11  3.749E+00  3.017E-02
  11  4.310E+00  2.894E-02
  11  4.954E+00  2.745E-02
  11  5.697E+00  2.574E-02
  11  6.550E+00  2.385E-02
  11  7.532E+00  2.183E-02
  11  8.660E+00  1.974E-02
  11  9.957E+00  1.763E-02
  11  1.145E+01  1.554E-02
  11  1.316E+01  1.352E-02
  11  1.513E+01  1.160E-02
  11  1.740E+01  9.825E-03
  11  2.000E+01  8.210E-03
  11  2.300E+01  6.766E-03
  11  2.645E+01  5.500E-03
  11  3.041E+01  4.414E-03
  11  3.496E+01  3.495E-03
  11  4.020E+01  2.731E-03
  11  4.621E+01  2.111E-03
  11  5.313E+01  1.611E-03
  11  6.109E+01  1.215E-03
  11  7.024E+01  9.070E-04
  11  8.075E+01  6.704E-04
  11  9.285E+01  4.908E-04
  11  1.068E+02  3.562E-04
  11  1.228E+02  2.565E-04
  11  1.411E+02  1.834E-04
  11  1.623E+02  1.302E-04
  11  1.866E+02  9.190E-05
  11  2.145E+02  6.450E-05
  11  2.466E+02  4.508E-05
  11  2.836E+02  3.132E-05
  11  3.259E+02  2.172E-05
  11  3.749E+02  1.497E-05
  11  4.310E+02  1.030E-05
  11  4.954E+02  7.076E-06
  11  5.697E+02  4.841E-06
  11  6.550E+02  3.307E-06
  11  7.532E+02  2.253E-06
  11  8.660E+02  1.534E-06
  11  9.957E+02  1.043E-06
  11  1.145E+03  7.078E-07
  11  1.316E+03  4.799E-07
  11  1.513E+03  3.251E-07
  11  1.740E+03  2.199E-07
  11  2.000E+03  1.488E-07
  11  2.300E+03  1.005E-07
  11  2.645E+03  6.785E-08
  11  3.041E+03  4.583E-08
  11  3.496E+03  3.092E-08
  11  4.020E+03  2.084E-08
  11  4.621E+03  1.407E-08
  11  5.313E+03  9.483E-09
  11  6.109E+03  6.391E-09
  11  7.024E+03  4.305E-09
  11  8.075E+03  2.901E-09
  11  9.285E+03  1.954E-09
  11  1.068E+04  1.315E-09
  11  1.228E+04  8.857E-10
  11  1.411E+04  5.964E-10
  11  1.623E+04  4.015E-10
  11  1.866E+04  2.703E-10
  11  2.145E+04  1.819E-10
  11  2.466E+04  1.225E-10
  11  2.836E+04  8.239E-11
  11  3.259E+04  5.552E-11
  11  3.749E+04  3.731E-11
  11  4.310E+04  2.511E-11
  11  4.954E+04  1.691E-11
  11  5.697E+04  1.138E-11
  11  6.550E+04  7.654E-12
  11  7.532E+04  5.148E-12
  11  8.660E+04  3.465E-12
  11  9.957E+04  2.331E-12
  11  1.145E+05  1.569E-12
  11  1.316E+05  1.056E-12
  11  1.513E+05  7.104E-13
  11  1.740E+05  4.778E-13
  11  2.000E+05  3.216E-13
  11  2.300E+05  2.163E-13
  12  2.400E-01  2.693E-02
  12  2.760E-01  3.030E-02
  12  3.173E-01  3.399E-02
  12  3.648E-01  3.800E-02
  12  4.195E-01  4.235E-02
  12  4.822E-01  4.699E-02
  12  5.544E-01  5.193E-02
  12  6.374E-01  5.712E-02
  12  7.330E-01  6.251E-02
  12  8.426E-01  6.802E-02
  12  9.689E-01  7.358E-02
  12  1.114E+00  7.908E-02
  12  1.281E+00  8.441E-02
  12  1.473E+00  8.944E-02
  12  1.693E+00  9.405E-02
  12  1.947E+00  9.809E-02
  12  2.238E+00  1.014E-01
  12  2.573E+00  1.040E-01
  12  2.959E+00  1.056E-01
  12  3.401E+00  1.062E-01
  12  3.912E+00  1.057E-01
  12  4.498E+00  1.042E-01
  12  5.170E+00  1.016E-01
  12  5.945E+00  9.788E-02
  12  6.835E+00  9.323E-02
  12  7.860E+00  8.773E-02
  12  9.036E+00  8.154E-02
  12  1.039E+01  7.480E-02
  12  1.194E+01  6.772E-02
  12  1.373E+01  6.047E-02
  12  1.579E+01  5.325E-02
  12  1.816E+01  4.623E-02
  12  2.087E+01  3.957E-02
  12  2.400E+01  3.338E-02
  12  2.760E+01  2.776E-02
  12  3.173E+01  2.277E-02
  12  3.648E+01  1.842E-02
  12  4.195E+01  1.470E-02
  12  4.822E+01  1.159E-02
  12  5.544E+01  9.021E-03
  12  6.374E+01  6.940E-03
  12  7.330E+01  5.280E-03
  12  8.426E+01  3.977E-03
  12  9.689E+01  2.966E-03
  12  1.114E+02  2.193E-03
  12  1.281E+02  1.609E-03
  12  1.473E+02  1.171E-03
  12  1.693E+02  8.471E-04
  12  1.947E+02  6.091E-04
  12  2.238E+02  4.354E-04
  12  2.573E+02  3.100E-04
  12  2.959E+02  2.194E-04
  12  3.401E+02  1.550E-04
  12  3.912E+02  1.089E-04
  12  4.498E+02  7.636E-05
  12  5.170E+02  5.344E-05
  12  5.945E+02  3.726E-05
  12  6.835E+02  2.594E-05
  12  7.860E+02  1.802E-05
  12  9.036E+02  1.250E-05
  12  1.039E+03  8.661E-06
  12  1.194E+03  5.993E-06
  12  1.373E+03  4.143E-06
  12  1.579E+03  2.861E-06
  12  1.816E+03  1.973E-06
  12  2.087E+03  1.361E-06
  12  2.400E+03  9.375E-07
  12  2.760E+03  6.452E-07
  12  3.173E+03  4.443E-07
  12  3.648E+03  3.056E-07
  12  4.195E+03  2.101E-07
  12  4.822E+03  1.446E-07
  12  5.544E+03  9.937E-08
  12  6.374E+03  6.828E-08
  12  7.330E+03  4.690E-08
  12  8.426E+03  3.223E-08
  12  9.689E+03  2.213E-08
  12  1.114E+04  1.519E-08
  12  1.281E+04  1.043E-08
  12  1.473E+04  7.163E-09
  12  1.693E+04  4.917E-09
  12  1.947E+04  3.376E-09
  12  2.238E+04  2.317E-09
  12  2.573E+04  1.591E-09
  12  2.959E+04  1.091E-09
  12  3.401E+04  7.496E-10
  12  3.912E+04  5.137E-10
  12  4.498E+04  3.526E-10
  12  5.170E+04  2.421E-10
  12  5.945E+04  1.661E-10
  12  6.835E+04  1.140E-10
  12  7.860E+04  7.816E-11
  12  9.036E+04  5.364E-11
  12  1.039E+05  3.680E-11
  12  1.194E+05  2.526E-11
  12  1.373E+05  1.733E-11
  12  1.579E+05  1.189E-11
  12  1.816E+05  8.156E-12
  12  2.087E+05  5.597E-12
  12  2.400E+05  3.840E-12
  13  2.700E-01  6.253E-03
  13  3.105E-01  7.016E-03
  13  3.569E-01  7.845E-03
  13  4.104E-01  8.742E-03
  13  4.720E-01  9.704E-03
  13  5.424E-01  1.072E-02
  13  6.237E-01  1.179E-02
  13  7.171E-01  1.290E-02
  13  8.246E-01  1.404E-02
  13  9.480E-01  1.518E-02
  13  1.090E+00  1.631E-02
  13  1.253E+00  1.740E-02
  13  1.441E+00  1.842E-02
  13  1.657E+00  1.936E-02
  13  1.905E+00  2.017E-02
  13  2.190E+00  2.084E-02
  13  2.518E+00  2.133E-02
  13  2.894E+00  2.164E-02
  13  3.329E+00  2.174E-02
  13  3.826E+00  2.162E-02
  13  4.401E+00  2.128E-02
  13  5.060E+00  2.073E-02
  13  5.816E+00  1.997E-02
  13  6.688E+00  1.901E-02
  13  7.690E+00  1.789E-02
  13  8.842E+00  1.664E-02
  13  1.017E+01  1.528E-02
  13  1.169E+01  1.385E-02
  13  1.344E+01  1.239E-02
  13  1.545E+01  1.094E-02
  13  1.776E+01  9.524E-03
  13  2.043E+01  8.177E-03
  13  2.348E+01  6.923E-03
  13  2.700E+01  5.779E-03
  13  3.105E+01  4.756E-03
  13  3.569E+01  3.862E-03
  13  4.104E+01  3.093E-03
  13  4.720E+01  2.444E-03
  13  5.424E+01  1.909E-03
  13  6.237E+01  1.471E-03
  13  7.171E+01  1.121E-03
  13  8.246E+01  8.453E-04
  13  9.480E+01  6.309E-04
  13  1.090E+02  4.663E-04
  13  1.253E+02  3.416E-04
  13  1.441E+02  2.483E-04
  13  1.657E+02  1.791E-04
  13  1.905E+02  1.284E-04
  13  2.190E+02  9.145E-05
  13  2.518E+02  6.478E-05
  13  2.894E+02  4.570E-05
  13  3.329E+02  3.204E-05
  13  3.826E+02  2.243E-05
  13  4.401E+02  1.561E-05
  13  5.060E+02  1.084E-05
  13  5.816E+02  7.516E-06
  13  6.688E+02  5.191E-06
  13  7.690E+02  3.580E-06
  13  8.842E+02  2.463E-06
  13  1.017E+03  1.693E-06
  13  1.169E+03  1.161E-06
  13  1.344E+03  7.960E-07
  13  1.545E+03  5.450E-07
  13  1.776E+03  3.727E-07
  13  2.043E+03  2.546E-07
  13  2.348E+03  1.739E-07
  13  2.700E+03  1.186E-07
  13  3.105E+03  8.086E-08
  13  3.569E+03  5.514E-08
  13  4.104E+03  3.757E-08
  13  4.720E+03  2.557E-08
  13  5.424E+03  1.743E-08
  13  6.237E+03  1.186E-08
  13  7.171E+03  8.073E-09
  13  8.246E+03  5.491E-09
  13  9.480E+03  3.736E-09
  13  1.090E+04  2.541E-09
  13  1.253E+04  1.727E-09
  13  1.441E+04  1.175E-09
  13  1.657E+04  7.988E-10
  13  1.905E+04  5.430E-10
  13  2.190E+04  3.692E-10
  13  2.518E+04  2.509E-10
  13  2.894E+04  1.706E-10
  13  3.329E+04  1.159E-10
  13  3.826E+04  7.884E-11
  13  4.401E+04  5.350E-11
  13  5.060E+04  3.637E-11
  13  5.816E+04  2.473E-11
  13  6.688E+04  1.680E-11
  13  7.690E+04  1.141E-11
  13  8.842E+04  7.752E-12
  13  1.017E+05  5.269E-12
  13  1.169E+05  3.580E-12
  13  1.344E+05  2.433E-12
  13  1.545E+05  1.653E-12
  13  1.776E+05  1.123E-12
  13  2.043E+05  7.629E-13
  13  2.348E+05  5.185E-13
  13  2.700E+05  3.522E-13
  14  2.800E-01  2.933E-02
  14  3.220E-01  3.285E-02
  14  3.702E-01  3.666E-02
  14  4.256E-01  4.075E-02
  14  4.894E-01  4.512E-02
  14  5.625E-01  4.970E-02
  14  6.468E-01  5.449E-02
  14  7.437E-01  5.940E-02
  14  8.551E-01  6.436E-02
  14  9.831E-01  6.929E-02
  14  1.130E+00  7.407E-02
  14  1.300E+00  7.860E-02
  14  1.494E+00  8.274E-02
  14  1.718E+00  8.639E-02
  14  1.975E+00  8.942E-02
  14  2.271E+00  9.172E-02
  14  2.611E+00  9.321E-02
  14  3.002E+00  9.381E-02
  14  3.452E+00  9.349E-02
  14  3.968E+00  9.223E-02
  14  4.564E+00  9.002E-02
  14  5.247E+00  8.695E-02
  14  6.031E+00  8.309E-02
  14  6.936E+00  7.850E-02
  14  7.974E+00  7.334E-02
  14  9.170E+00  6.772E-02
  14  1.054E+01  6.180E-02
  14  1.212E+01  5.572E-02
  14  1.394E+01  4.962E-02
  14  1.602E+01  4.365E-02
  14  1.842E+01  3.791E-02
  14  2.118E+01  3.250E-02
  14  2.435E+01  2.751E-02
  14  2.800E+01  2.298E-02
  14  3.220E+01  1.895E-02
  14  3.702E+01  1.544E-02
  14  4.256E+01  1.243E-02
  14  4.894E+01  9.874E-03
  14  5.625E+01  7.763E-03
  14  6.468E+01  6.031E-03
  14  7.437E+01  4.636E-03
  14  8.551E+01  3.528E-03
  14  9.831E+01  2.660E-03
  14  1.130E+02  1.987E-03
  14  1.300E+02  1.473E-03
  14  1.494E+02  1.083E-03
  14  1.718E+02  7.914E-04
  14  1.975E+02  5.745E-04
  14  2.271E+02  4.147E-04
  14  2.611E+02  2.978E-04
  14  3.002E+02  2.129E-04
  14  3.452E+02  1.514E-04
  14  3.968E+02  1.075E-04
  14  4.564E+02  7.589E-05
  14  5.247E+02  5.349E-05
  14  6.031E+02  3.762E-05
  14  6.936E+02  2.637E-05
  14  7.974E+02  1.845E-05
  14  9.170E+02  1.289E-05
  14  1.054E+03  8.991E-06
  14  1.212E+03  6.262E-06
  14  1.394E+03  4.357E-06
  14  1.602E+03  3.028E-06
  14  1.842E+03  2.103E-06
  14  2.118E+03  1.458E-06
  14  2.435E+03  1.011E-06
  14  2.800E+03  7.005E-07
  14  3.220E+03  4.847E-07
  14  3.702E+03  3.356E-07
  14  4.256E+03  2.322E-07
  14  4.894E+03  1.605E-07
  14  5.625E+03  1.111E-07
  14  6.468E+03  7.676E-08
  14  7.437E+03  5.304E-08
  14  8.551E+03  3.663E-08
  14  9.831E+03  2.531E-08
  14  1.130E+04  1.748E-08
  14  1.300E+04  1.207E-08
  14  1.494E+04  8.332E-09
  14  1.718E+04  5.753E-09
  14  1.975E+04  3.971E-09
  14  2.271E+04  2.742E-09
  14  2.611E+04  1.892E-09
  14  3.002E+04  1.307E-09
  14  3.452E+04  9.010E-10
  14  3.968E+04  6.225E-10
  14  4.564E+04  4.290E-10
  14  5.247E+04  2.961E-10
  14  6.031E+04  2.045E-10
  14  6.936E+04  1.410E-10
  14  7.974E+04  9.731E-11
  14  9.170E+04  6.712E-11
  14  1.054E+05  4.632E-11
  14  1.212E+05  3.196E-11
  14  1.394E+05  2.205E-11
  14  1.602E+05  1.522E-11
  14  1.842E+05  1.050E-11
  14  2.118E+05  7.242E-12
  14  2.435E+05  4.998E-12
  14  2.800E+05  3.448E-12
  15  3.100E-01  8.969E-04
  15  3.565E-01  1.010E-03
  15  4.098E-01  1.134E-03
  15  4.712E-01  1.269E-03
  15  5.419E-01  1.416E-03
  15  6.228E-01  1.573E-03
  15  7.161E-01  1.741E-03
  15  8.234E-01  1.917E-03
  15  9.467E-01  2.102E-03
  15  1.088E+00  2.291E-03
  15  1.251E+00  2.483E-03
  15  1.439E+00  2.675E-03
  15  1.654E+00  2.862E-03
  15  1.902E+00  3.040E-03
  15  2.187E+00  3.204E-03
  15  2.514E+00  3.351E-03
  15  2.891E+00  3.475E-03
  15  3.323E+00  3.571E-03
  15  3.822E+00  3.636E-03
  15  4.393E+00  3.665E-03
  15  5.053E+00  3.658E-03
  15  5.809E+00  3.611E-03
  15  6.677E+00  3.525E-03
  15  7.679E+00  3.400E-03
  15  8.829E+00  3.240E-03
  15  1.015E+01  3.048E-03
  15  1.167E+01  2.829E-03
  15  1.342E+01  2.590E-03
  15  1.543E+01  2.337E-03
  15  1.774E+01  2.078E-03
  15  2.039E+01  1.820E-03
  15  2.345E+01  1.570E-03
  15  2.696E+01  1.333E-03
  15  3.100E+01  1.114E-03
  15  3.565E+01  9.169E-04
  15  4.098E+01  7.433E-04
  15  4.712E+01  5.935E-04
  15  5.419E+01  4.668E-04
  15  6.228E+01  3.625E-04
  15  7.161E+01  2.774E-04
  15  8.234E+01  2.097E-04
  15  9.467E+01  1.566E-04
  15  1.088E+02  1.157E-04
  15  1.251E+02  8.455E-05
  15  1.439E+02  6.121E-05
  15  1.654E+02  4.393E-05
  15  1.902E+02  3.129E-05
  15  2.187E+02  2.212E-05
  15  2.514E+02  1.554E-05
  15  2.891E+02  1.085E-05
  15  3.323E+02  7.540E-06
  15  3.822E+02  5.208E-06
  15  4.393E+02  3.591E-06
  15  5.053E+02  2.460E-06
  15  5.809E+02  1.682E-06
  15  6.677E+02  1.148E-06
  15  7.679E+02  7.804E-07
  15  8.829E+02  5.295E-07
  15  1.015E+03  3.585E-07
  15  1.167E+03  2.424E-07
  15  1.342E+03  1.636E-07
  15  1.543E+03  1.103E-07
  15  1.774E+03  7.431E-08
  15  2.039E+03  4.999E-08
  15  2.345E+03  3.359E-08
  15  2.696E+03  2.257E-08
  15  3.100E+03  1.514E-08
  15  3.565E+03  1.015E-08
  15  4.098E+03  6.809E-09
  15  4.712E+03  4.563E-09
  15  5.419E+03  3.054E-09
  15  6.228E+03  2.048E-09
  15  7.161E+03  1.371E-09
  15  8.234E+03  9.172E-10
  15  9.467E+03  6.135E-10
  15  1.088E+04  4.106E-10
  15  1.251E+04  2.746E-10
  15  1.439E+04  1.836E-10
  15  1.654E+04  1.228E-10
  15  1.902E+04  8.209E-11
  15  2.187E+04  5.488E-11
  15  2.514E+04  3.670E-11
  15  2.891E+04  2.453E-11
  15  3.323E+04  1.640E-11
  15  3.822E+04  1.095E-11
  15  4.393E+04  7.330E-12
  15  5.053E+04  4.891E-12
  15  5.809E+04  3.269E-12
  15  6.677E+04  2.187E-12
  15  7.679E+04  1.460E-12
  15  8.829E+04  9.759E-13
  15  1.015E+05  6.518E-13
  15  1.167E+05  4.357E-13
  15  1.342E+05  2.911E-13
  15  1.543E+05  1.945E-13
  15  1.774E+05  1.300E-13
  15  2.039E+05  8.685E-14
  15  2.345E+05  5.802E-14
  15  2.696E+05  3.877E-14
  15  3.100E+05  2.590E-14
  16  3.200E-01  4.497E-03
  16  3.680E-01  5.046E-03
  16  4.230E-01  5.642E-03
  16  4.864E-01  6.286E-03
  16  5.594E-01  6.978E-03
  16  6.429E-01  7.709E-03
  16  7.392E-01  8.478E-03
  16  8.499E-01  9.275E-03
  16  9.773E-01  1.009E-02
  16  1.124E+00  1.091E-02
  16  1.292E+00  1.172E-02
  16  1.485E+00  1.250E-02
  16  1.708E+00  1.323E-02
  16  1.964E+00  1.389E-02
  16  2.258E+00  1.447E-02
  16  2.596E+00  1.493E-02
  16  2.984E+00  1.528E-02
  16  3.430E+00  1.549E-02
  16  3.946E+00  1.555E-02
  16  4.534E+00  1.545E-02
  16  5.216E+00  1.520E-02
  16  5.997E+00  1.479E-02
  16  6.893E+00  1.423E-02
  16  7.926E+00  1.355E-02
  16  9.114E+00  1.274E-02
  16  1.048E+01  1.185E-02
  16  1.205E+01  1.088E-02
  16  1.385E+01  9.866E-03
  16  1.593E+01  8.833E-03
  16  1.831E+01  7.805E-03
  16  2.105E+01  6.804E-03
  16  2.421E+01  5.852E-03
  16  2.783E+01  4.966E-03
  16  3.200E+01  4.157E-03
  16  3.680E+01  3.431E-03
  16  4.230E+01  2.796E-03
  16  4.864E+01  2.249E-03
  16  5.594E+01  1.785E-03
  16  6.429E+01  1.401E-03
  16  7.392E+01  1.085E-03
  16  8.499E+01  8.319E-04
  16  9.773E+01  6.307E-04
  16  1.124E+02  4.737E-04
  16  1.292E+02  3.524E-04
  16  1.485E+02  2.599E-04
  16  1.708E+02  1.902E-04
  16  1.964E+02  1.382E-04
  16  2.258E+02  9.977E-05
  16  2.596E+02  7.161E-05
  16  2.984E+02  5.111E-05
  16  3.430E+02  3.633E-05
  16  3.946E+02  2.567E-05
  16  4.534E+02  1.811E-05
  16  5.216E+02  1.270E-05
  16  5.997E+02  8.895E-06
  16  6.893E+02  6.216E-06
  16  7.926E+02  4.328E-06
  16  9.114E+02  3.009E-06
  16  1.048E+03  2.087E-06
  16  1.205E+03  1.446E-06
  16  1.385E+03  1.000E-06
  16  1.593E+03  6.914E-07
  16  1.831E+03  4.773E-07
  16  2.105E+03  3.291E-07
  16  2.421E+03  2.267E-07
  16  2.783E+03  1.561E-07
  16  3.200E+03  1.074E-07
  16  3.680E+03  7.381E-08
  16  4.230E+03  5.075E-08
  16  4.864E+03  3.487E-08
  16  5.594E+03  2.393E-08
  16  6.429E+03  1.645E-08
  16  7.392E+03  1.129E-08
  16  8.499E+03  7.747E-09
  16  9.773E+03  5.314E-09
  16  1.124E+04  3.646E-09
  16  1.292E+04  2.500E-09
  16  1.485E+04  1.714E-09
  16  1.708E+04  1.175E-09
  16  1.964E+04  8.059E-10
  16  2.258E+04  5.524E-10
  16  2.596E+04  3.787E-10
  16  2.984E+04  2.596E-10
  16  3.430E+04  1.780E-10
  16  3.946E+04  1.219E-10
  16  4.534E+04  8.364E-11
  16  5.216E+04  5.724E-11
  16  5.997E+04  3.923E-11
  16  6.893E+04  2.690E-11
  16  7.926E+04  1.843E-11
  16  9.114E+04  1.263E-11
  16  1.048E+05  8.647E-12
  16  1.205E+05  5.927E-12
  16  1.385E+05  4.061E-12
  16  1.593E+05  2.783E-12
  16  1.831E+05  1.907E-12
  16  2.105E+05  1.306E-12
  16  2.421E+05  8.949E-13
  16  2.783E+05  6.133E-13
  16  3.200E+05  4.201E-13
  17  3.500E-01  6.430E-04
  17  4.025E-01  7.254E-04
  17  4.627E-01  8.161E-04
  17  5.320E-01  9.156E-04
  17  6.118E-01  1.024E-03
  17  7.032E-01  1.141E-03
  17  8.085E-01  1.267E-03
  17  9.296E-01  1.400E-03
  17  1.069E+00  1.541E-03
  17  1.229E+00  1.687E-03
  17  1.413E+00  1.837E-03
  17  1.625E+00  1.989E-03
  17  1.868E+00  2.139E-03
  17  2.148E+00  2.284E-03
  17  2.469E+00  2.423E-03
  17  2.839E+00  2.549E-03
  17  3.264E+00  2.660E-03
  17  3.752E+00  2.752E-03
  17  4.316E+00  2.820E-03
  17  4.959E+00  2.862E-03
  17  5.705E+00  2.875E-03
  17  6.559E+00  2.857E-03
  17  7.539E+00  2.806E-03
  17  8.670E+00  2.723E-03
  17  9.968E+00  2.609E-03
  17  1.146E+01  2.466E-03
  17  1.318E+01  2.299E-03
  17  1.515E+01  2.112E-03
  17  1.742E+01  1.911E-03
  17  2.003E+01  1.702E-03
  17  2.303E+01  1.492E-03
  17  2.648E+01  1.287E-03
  17  3.044E+01  1.092E-03
  17  3.500E+01  9.104E-04
  17  4.025E+01  7.467E-04
  17  4.627E+01  6.027E-04
  17  5.320E+01  4.787E-04
  17  6.118E+01  3.742E-04
  17  7.032E+01  2.884E-04
  17  8.085E+01  2.190E-04
  17  9.296E+01  1.640E-04
