2017.326027
   Z       E         F
   2  7.496E+03  2.322E-07
   2  8.616E+03  1.579E-07
   2  9.908E+03  1.073E-07
   2  1.139E+04  7.288E-08
   2  1.310E+04  4.950E-08
   2  1.506E+04  3.365E-08
   2  1.732E+04  2.286E-08
   2  1.991E+04  1.553E-08
   2  2.289E+04  1.056E-08
   2  2.632E+04  7.172E-09
   2  3.026E+04  4.872E-09
   2  3.479E+04  3.311E-09
   2  4.000E+04  2.249E-09
   3  7.000E-02  1.146E-01
   3  8.050E-02  1.282E-01
   3  9.254E-02  1.428E-01
   3  1.064E-01  1.585E-01
   3  1.224E-01  1.752E-01
   3  1.406E-01  1.927E-01
   3  1.617E-01  2.108E-01
   3  1.859E-01  2.294E-01
   3  2.138E-01  2.481E-01
   3  2.458E-01  2.665E-01
   3  2.826E-01  2.844E-01
   3  3.249E-01  3.012E-01
   3  3.736E-01  3.165E-01
   3  4.295E-01  3.299E-01
   3  4.939E-01  3.410E-01
   3  5.678E-01  3.493E-01
   3  6.528E-01  3.546E-01
   3  7.504E-01  3.566E-01
   3  8.631E-01  3.550E-01
   3  9.919E-01  3.500E-01
   3  1.141E+00  3.415E-01
   3  1.312E+00  3.296E-01
   3  1.508E+00  3.148E-01
   3  1.734E+00  2.972E-01
   3  1.994E+00  2.773E-01
   3  2.292E+00  2.556E-01
   3  2.636E+00  2.328E-01
   3  3.030E+00  2.093E-01
   3  3.484E+00  1.858E-01
   3  4.005E+00  1.627E-01
   3  4.605E+00  1.406E-01
   3  5.296E+00  1.198E-01
   3  6.088E+00  1.006E-01
   3  7.000E+00  8.339E-02
   3  8.050E+00  6.812E-02
   3  9.254E+00  5.492E-02
   3  1.064E+01  4.367E-02
   3  1.224E+01  3.426E-02
   3  1.406E+01  2.657E-02
   3  1.617E+01  2.034E-02
   3  1.859E+01  1.539E-02
   3  2.138E+01  1.152E-02
   3  2.458E+01  8.542E-03
   3  2.826E+01  6.270E-03
   3  3.249E+01  4.561E-03
   3  3.736E+01  3.293E-03
   3  4.295E+01  2.360E-03
   3  4.938E+01  1.679E-03
   3  5.678E+01  1.188E-03
   3  6.528E+01  8.360E-04
   3  7.504E+01  5.857E-04
   3  8.631E+01  4.078E-04
   3  9.919E+01  2.835E-04
   3  1.141E+02  1.959E-04
   3  1.312E+02  1.352E-04
   3  1.508E+02  9.306E-05
   3  1.734E+02  6.383E-05
   3  1.994E+02  4.371E-05
   3  2.292E+02  2.986E-05
   3  2.636E+02  2.039E-05
   3  3.030E+02  1.389E-05
   3  3.484E+02  9.454E-06
   3  4.005E+02  6.428E-06
   3  4.605E+02  4.365E-06
   3  5.296E+02  2.961E-06
   3  6.088E+02  2.009E-06
   3  7.000E+02  1.361E-06
   3  8.050E+02  9.211E-07
   3  9.254E+02  6.238E-07
   3  1.064E+03  4.221E-07
   3  1.224E+03  2.853E-07
   3  1.406E+03  1.931E-07
   3  1.617E+03  1.305E-07
   3  1.859E+03  8.819E-08
   3  2.138E+03  5.957E-08
   3  2.458E+03  4.026E-08
   3  2.826E+03  2.718E-08
   3  3.249E+03  1.835E-08
   3  3.736E+03  1.239E-08
   3  4.295E+03  8.369E-09
   3  4.938E+03  5.650E-09
   3  5.678E+03  3.814E-09
   3  6.528E+03  2.574E-09
   3  7.504E+03  1.739E-09
   3  8.631E+03  1.172E-09
   3  9.919E+03  7.922E-10
   3  1.141E+04  5.339E-10
   3  1.312E+04  3.603E-10
   3  1.508E+04  2.434E-10
   3  1.734E+04  1.641E-10
   3  1.994E+04  1.107E-10
   3  2.292E+04  7.470E-11
   3  2.636E+04  5.042E-11
   3  3.030E+04  3.402E-11
   3  3.484E+04  2.296E-11
   3  4.005E+04  1.549E-11
   3  4.605E+04  1.045E-11
   3  5.296E+04  7.050E-12
   3  6.088E+04  4.758E-12
   3  7.000E+04  3.210E-12
   4  9.000E-02  3.522E-02
   4  1.035E-01  3.963E-02
   4  1.190E-01  4.446E-02
   4  1.368E-01  4.972E-02
   4  1.573E-01  5.542E-02
   4  1.808E-01  6.151E-02
   4  2.079E-01  6.800E-02
   4  2.390E-01  7.483E-02
   4  2.749E-01  8.193E-02
   4  3.160E-01  8.921E-02
   4  3.633E-01  9.657E-02
   4  4.178E-01  1.039E-01
   4  4.803E-01  1.110E-01
   4  5.522E-01  1.177E-01
   4  6.350E-01  1.239E-01
   4  7.300E-01  1.294E-01
   4  8.393E-01  1.340E-01
   4  9.648E-01  1.375E-01
   4  1.110E+00  1.397E-01
   4  1.275E+00  1.406E-01
   4  1.467E+00  1.400E-01
   4  1.687E+00  1.379E-01
   4  1.939E+00  1.342E-01
   4  2.229E+00  1.291E-01
   4  2.563E+00  1.226E-01
   4  2.947E+00  1.149E-01
   4  3.389E+00  1.062E-01
   4  3.896E+00  9.669E-02
   4  4.479E+00  8.675E-02
   4  5.150E+00  7.663E-02
   4  5.921E+00  6.661E-02
   4  6.809E+00  5.697E-02
   4  7.827E+00  4.794E-02
   4  9.000E+00  3.967E-02
   4  1.035E+01  3.228E-02
   4  1.190E+01  2.586E-02
   4  1.368E+01  2.039E-02
   4  1.573E+01  1.582E-02
   4  1.808E+01  1.211E-02
   4  2.079E+01  9.126E-03
   4  2.390E+01  6.788E-03
   4  2.749E+01  4.985E-03
   4  3.160E+01  3.620E-03
   4  3.633E+01  2.599E-03
   4  4.178E+01  1.847E-03
   4  4.803E+01  1.301E-03
   4  5.522E+01  9.087E-04
   4  6.349E+01  6.299E-04
   4  7.300E+01  4.337E-04
   4  8.393E+01  2.968E-04
   4  9.648E+01  2.021E-04
   4  1.110E+02  1.367E-04
   4  1.275E+02  9.230E-05
   4  1.467E+02  6.191E-05
   4  1.687E+02  4.145E-05
   4  1.939E+02  2.768E-05
   4  2.229E+02  1.842E-05
   4  2.563E+02  1.223E-05
   4  2.948E+02  8.101E-06
   4  3.389E+02  5.361E-06
   4  3.896E+02  3.540E-06
   4  4.479E+02  2.335E-06
   4  5.150E+02  1.539E-06
   4  5.921E+02  1.013E-06
   4  6.809E+02  6.655E-07
   4  7.827E+02  4.373E-07
   4  9.000E+02  2.870E-07
   4  1.035E+03  1.882E-07
   4  1.190E+03  1.235E-07
   4  1.368E+03  8.091E-08
   4  1.573E+03  5.298E-08
   4  1.808E+03  3.473E-08
   4  2.079E+03  2.274E-08
   4  2.390E+03  1.488E-08
   4  2.749E+03  9.736E-09
   4  3.160E+03  6.371E-09
   4  3.633E+03  4.167E-09
   4  4.178E+03  2.725E-09
   4  4.803E+03  1.782E-09
   4  5.522E+03  1.165E-09
   4  6.350E+03  7.619E-10
   4  7.300E+03  4.982E-10
   4  8.393E+03  3.256E-10
   4  9.648E+03  2.130E-10
   4  1.110E+04  1.391E-10
   4  1.275E+04  9.101E-11
   4  1.467E+04  5.939E-11
   4  1.687E+04  3.882E-11
   4  1.939E+04  2.539E-11
